Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
10.7,10.87,10.51,10.79,8100,0.999101996421814,56,9,9.53,0.1556239092343879,1.061413
10.63,10.63,10.0,10.16,26300,0.999101996421814,56,9,9.76,0.1345060150158394,1.067886
9.9,10.4,9.83,10.07,28000,0.999101996421814,56,9,9.663333333333332,0.2242662164712593,1.071915
9.92,10.04,8.65,8.85,41100,0.999101996421814,56,9,9.34,0.246232424288697,1.077424
8.52,9.272,8.52,8.9,31000,0.999101996421814,56,9,8.693333333333333,0.1311393657808544,1.087039
8.94,9.28,8.92,9.17,16400,0.999101996421814,56,9,8.273333333333333,0.3962683084898468,1.083506
8.97,9.58,8.695,9.14,29400,0.999101996421814,56,9,7.9733333333333345,0.2303272604759629,1.077819
9.25,9.82,9.25,9.6,19900,0.999101996421814,56,9,8.07,0.3240350572610407,1.080707
9.6,9.715,9.35,9.52,4800,0.999101996421814,56,9,8.303333333333333,0.1213919645907409,1.083952
9.65,9.865,9.5,9.82,20700,0.999101996421814,56,9,8.42,0.1482082816237282,1.084363
9.92,10.168,9.07,9.29,15600,0.999101996421814,56,9,8.646666666666667,0.2294049481178924,1.090465
9.433,9.879,9.06,9.76,5500,0.999101996421814,56,9,8.543333333333333,0.2474111396800737,1.080334
9.69,10.02,9.27,9.27,13200,0.999101996421814,56,9,8.623333333333333,0.1822073125358248,1.091227
9.27,9.44,8.787,9.41,14500,0.999101996421814,56,9,8.44,0.2722379170857002,1.096011
9.44,9.91,9.24,9.4,13600,0.999101996421814,56,9,8.479999999999999,0.28299824915249,1.090334
9.39,9.4,9.239,9.4,9500,0.999101996421814,56,9,8.360000000000001,0.2955235225560421,1.092013
9.03,10.053,9.03,9.97,17200,0.999101996421814,56,9,8.403333333333334,0.2759698007376415,1.091358
10.11,10.24,9.6,9.82,12900,0.999101996421814,56,9,8.59,0.2404563675142185,1.086933
10.156,10.2,9.877,9.9,12200,0.999101996421814,56,9,8.73,0.1765541302365528,1.091751
9.89,10.267,9.69,10.1,7400,0.999101996421814,56,9,8.896666666666667,0.21386585947303,1.099989
10.12,11.0,10.06,11.0,16500,0.999101996421814,56,9,8.94,0.2333800868991855,1.105461
10.89,11.66,10.89,11.37,22100,0.999101996421814,56,9,9.333333333333334,0.2330326323933453,1.09866
11.39,12.26,11.3,12.06,39600,0.999101996421814,56,9,9.823333333333332,0.1707792171835503,1.092538
12.1,12.266,11.77,12.02,7500,0.999101996421814,56,9,10.476666666666668,0.2986717225448134,1.097538
11.8,12.09,11.57,12.09,11900,0.999101996421814,56,9,10.816666666666668,0.1433143049632164,1.095218
11.96,12.02,11.61,11.7,14400,0.999101996421814,56,9,11.056666666666668,0.2435612799413612,1.097093
11.61,11.62,11.09,11.48,5900,0.999101996421814,56,9,10.936666666666667,0.3371466398968225,1.099227
11.17,11.2,10.7,10.77,17700,0.999101996421814,56,9,10.756666666666666,0.1794618780035854,1.10595
10.9,11.8,10.9,11.78,51200,0.999101996421814,56,9,10.316666666666668,0.1338353821990234,1.097839
11.62,11.85,11.31,11.6,30300,0.999101996421814,56,9,10.343333333333334,0.1676384478094017,1.104728
